"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice.herb",-25.4287336447344,6.52865578913503,0.505486000144551,0.100600994725995,"LC3"
"Rice.herb",-15.2767144220914,6.75517419484646,0.514310641092286,0.111023568101409,"MO1"
"Rice.herb",-12.7699038494034,1.93584533141069,0.523950804637766,0.112965363140132,"MO1"
"Rice.herb",-18.1453509743189,6.83115654065441,0.463408994524193,0.099943140149013,"MO1"
"Rice.herb",-26.2799083728885,3.67363432153297,0.530477426655501,0.108048865758156,"MO1"
"Rice.herb",-15.3987716321282,4.05675874391452,0.535522305681692,0.097303325878512,"MO1"
"Rice.herb",-22.9880874289859,7.32999453268565,0.507123344124829,0.0741774461260238,"MC1"
"Rice.herb",-18.4013040915553,5.19626398698354,0.519195017122321,0.114200776497906,"MC1"
"Rice.herb",-20.4890212358248,3.21671056673603,0.513811760892893,0.110085481096011,"MC2"
"Rice.herb",-31.1020309922109,5.31401821313644,0.506015633725095,0.114565225359365,"MC2"
"Rice.herb",-14.865079323118,3.01159006986689,0.534072241769729,0.100531491681857,"MC2"
"Rice.herb",-30.5503845106576,4.45737648822497,0.563389774531232,0.0919860510441406,"LO1"
"Rice.herb",-26.8524719781575,8.14990974804007,0.659726207761216,0.129554171221335,"MO1"
"Rice.herb",-27.4010750826838,7.6688723941429,0.503135304503535,0.0962471747483534,"MO1"
"Rice.herb",-25.4501002469691,9.4617714434725,0.496567780845472,0.110859587849368,"MO1"
"Rice.herb",-28.5280160281648,8.23085784625847,0.471439449914206,0.110722270605914,"MO1"
"Rice.herb",-28.1684388665808,8.15894261951725,0.493844633443458,0.0992418877270591,"MO1"
"Rice.herb",-27.4104993515513,9.23746337878315,0.509131254871143,0.102889017074026,"MO1"
"Rice.herb",-25.3758789117656,7.32203907633484,0.506743620408175,0.102706655495596,"MO1"
"Rice.herb",-17.4740281921662,7.70500075223966,0.407302839351799,0.057347960217472,"MO2"
"Rice.herb",-11.92587391389,4.54310902354647,0.499022999457006,0.105322789692023,"MO2"
"Rice.herb",-26.8294991966929,6.80045762298593,0.50798876467463,0.112799628681349,"MO2"
"Rice.herb",-25.2823784656372,7.2052324464432,0.527987316718995,0.0969265623062057,"MO2"
"Rice.herb",-22.215246672509,7.14663765392137,0.476647083725912,0.0938341658277274,"MO2"
"Rice.herb",-11.6120823527166,4.0488684940253,0.472587858981728,0.109057685783624,"MO3"
"Rice.herb",-30.6707320700529,12.5785149579255,0.481038555692774,0.0921993538620097,"MO3"
"Rice.herb",-14.2651088141977,10.6286741721735,0.519068942417716,0.102006669440676,"MO3"
"Rice.herb",-27.9887804801984,12.6703018825271,0.472737145350979,0.0854494324842009,"MO3"
"Rice.herb",-17.5276326575406,7.5048393150254,0.494930877156184,0.0938383844198277,"MO3"
