"d13C","d15N","Farm","Stage"
-23.9052157878806,6.81026359426245,"SC1","Tillering"
-24.5004372488954,11.2041757418294,"MO1","Flowering"
-23.9786355752631,8.24190194383698,"MO1","Flowering"
-23.697474541051,9.02476466062154,"MO1","Flowering"
-26.9109802634914,6.35146020329263,"MC2","Flowering"
-25.7943619185067,7.50683185836468,"MC3","Flowering"
-29.3092882849243,4.8203577401143,"MC1","Flowering"
-25.2282919991116,6.17256045026063,"MC1","Flowering"
-26.0011386905382,6.94872505829689,"MC1","Flowering"
-23.2622223199358,8.14159676897414,"MC1","Flowering"
-25.0079906834742,8.9339965439695,"MO3","Flowering"
-24.7907602338982,6.57918433454048,"MO2","Flowering"
-24.0113315633284,9.33961426768758,"MO2","Flowering"
-27.5077061170059,8.2267485104782,"LO1","Flowering"
-24.2351523205149,6.6621873015158,"LO1","Flowering"
-26.9208540103701,7.70403764369824,"SO1","Flowering"
-27.5188311114653,6.3088789331544,"SO1","Flowering"
-28.1652879765045,6.19249964289512,"LC3","Flowering"
-27.8122119313811,5.48341711037371,"LC3","Flowering"
-27.1665525873221,7.60206826845569,"LO2","Flowering"
-23.1776275853284,10.0208363481915,"LC1","Flowering"
-24.8450226426656,7.68169694695198,"SC1","Flowering"
-28.0799418387981,8.41158918817328,"SC1","Flowering"
-26.3702750359838,8.65296759227869,"SC1","Flowering"
-28.3994076431475,9.35545885874104,"MO2","Flowering"
-25.1931653808381,6.48152250121589,"MO1","Ripening"
-28.8213275593985,7.57291012953114,"MO1","Ripening"
-27.101613334402,7.67081600430308,"MC1","Ripening"
-25.3436284689451,5.70342918505068,"MC2","Ripening"
-26.8688522737477,7.60475102141005,"MC2","Ripening"
-26.0066691580842,7.46734593340497,"MC3","Ripening"
-24.3529795949732,6.71367491602002,"LO1","Ripening"
-19.5280131583831,7.00810357025574,"LO1","Ripening"
-29.1419418851877,6.72767961692312,"LO2","Ripening"
-27.4375690649824,6.56659852431102,"LO2","Ripening"
-28.5887797437011,7.46674131654042,"LO2","Ripening"
-29.8429967715209,6.13363765816424,"LO3","Ripening"
-26.244881808873,9.3394032512856,"LO3","Ripening"
-27.64816064655,8.16903549985126,"LO3","Ripening"
-29.7237246386379,6.49348813504734,"LO3","Ripening"
-29.5721344292046,6.85394502388584,"LC1","Ripening"
-28.9737735053842,6.65395678553678,"LC1","Ripening"
-29.3337438568379,5.83860010043733,"LC1","Ripening"
-29.0887783632132,7.65822209735706,"LC2","Ripening"
-29.931421400939,5.62846129888489,"LC3","Ripening"
-28.7943181726844,9.97310333072508,"SO1","Ripening"
-29.1180328980585,8.09488421686913,"SO1","Ripening"
-28.0710439304706,7.83991742480659,"SC1","Ripening"
-28.8820303171361,6.64611988241212,"SC1","Ripening"
