
#################################################################
# Summary Statistics
#################################################################

DIC = 2453.434

                             Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.LC3.Ripening.Tour.herb    0.060 0.200 0.000 0.000 0.001 0.004 0.011 0.701 0.881
p.LO1.Seedling.Detritivore  0.302 0.184 0.019 0.038 0.159 0.280 0.423 0.645 0.704
p.LO1.Seedling.Rice.herb    0.518 0.184 0.151 0.216 0.389 0.517 0.651 0.823 0.869
p.LO1.Seedling.Tour.herb    0.180 0.166 0.003 0.006 0.045 0.135 0.269 0.508 0.602
p.LO1.Tillering.Detritivore 0.321 0.161 0.037 0.068 0.203 0.310 0.426 0.606 0.655
p.LO1.Tillering.Rice.herb   0.424 0.139 0.168 0.205 0.331 0.418 0.517 0.662 0.708
p.LO1.Tillering.Tour.herb   0.256 0.177 0.005 0.013 0.111 0.235 0.375 0.580 0.632
p.LO1.Flowering.Detritivore 0.138 0.096 0.014 0.022 0.064 0.116 0.188 0.320 0.375
p.LO1.Flowering.Rice.herb   0.729 0.143 0.350 0.460 0.661 0.755 0.831 0.905 0.925
p.LO1.Flowering.Tour.herb   0.133 0.123 0.004 0.010 0.045 0.098 0.183 0.379 0.460
p.LO1.Ripening.Detritivore  0.024 0.028 0.001 0.002 0.007 0.016 0.032 0.078 0.098
p.LO1.Ripening.Rice.herb    0.913 0.156 0.241 0.699 0.921 0.958 0.979 0.992 0.994
p.LO1.Ripening.Tour.herb    0.062 0.148 0.001 0.001 0.006 0.017 0.047 0.274 0.696
p.LO2.Tillering.Detritivore 0.316 0.176 0.020 0.040 0.182 0.312 0.440 0.620 0.665
p.LO2.Tillering.Rice.herb   0.433 0.169 0.127 0.167 0.310 0.429 0.547 0.722 0.776
p.LO2.Tillering.Tour.herb   0.252 0.217 0.003 0.008 0.060 0.186 0.415 0.652 0.727
p.LO2.Flowering.Detritivore 0.136 0.103 0.008 0.015 0.056 0.112 0.190 0.342 0.400
p.LO2.Flowering.Rice.herb   0.730 0.169 0.293 0.396 0.650 0.768 0.851 0.935 0.956
p.LO2.Flowering.Tour.herb   0.135 0.142 0.002 0.004 0.027 0.086 0.199 0.428 0.519
